Year,Month,Rainfall
1901,1,51.25
1901,2,46.2
1901,3,58.75
1901,4,61.9
1901,5,74.55
1901,6,82.8
1901,7,74.2
1901,8,74.0
1901,9,81.85
1901,10,90.6
1901,11,59.75
1901,12,63.1
1902,1,52.7
1902,2,48.55
1902,3,56.150000000000006
1902,4,65.25
1902,5,86.75
1902,6,77.6
1902,7,74.6
1902,8,89.7
1902,9,69.7
1902,10,79.8
1902,11,66.69999999999999
1902,12,62.5
1903,1,49.1
1903,2,41.4
1903,3,44.3
1903,4,72.6
1903,5,74.65
1903,6,83.69999999999999
1903,7,85.6
1903,8,89.75
1903,9,71.3
1903,10,75.45
1903,11,66.5
1903,12,64.7
1904,1,52.35
1904,2,56.25
1904,3,58.9
1904,4,58.75
1904,5,77.95
1904,6,71.7
1904,7,62.3
1904,8,79.55
1904,9,80.25
1904,10,70.4
1904,11,67.80000000000001
1904,12,63.15
1905,1,50.5
1905,2,37.4
1905,3,60.5
1905,4,63.4
1905,5,76.7
1905,6,73.05
1905,7,73.94999999999999
1905,8,88.0
1905,9,79.3
1905,10,84.9
1905,11,74.65
1905,12,47.3
1906,1,55.4
1906,2,51.650000000000006
1906,3,56.4
1906,4,53.65
1906,5,84.2
1906,6,84.9
1906,7,81.9
1906,8,74.6
1906,9,73.95
1906,10,71.69999999999999
1906,11,72.25
1906,12,65.80000000000001
1907,1,50.55
1907,2,47.45
1907,3,46.150000000000006
1907,4,69.35
1907,5,75.1
1907,6,77.6
1907,7,77.5
1907,8,68.9
1907,9,66.95
1907,10,71.5
1907,11,63.1
1907,12,67.6
1908,1,48.3
1908,2,47.7
1908,3,50.55
1908,4,61.4
1908,5,69.75
1908,6,64.25
1908,7,79.5
1908,8,86.19999999999999
1908,9,67.9
1908,10,55.599999999999994
1908,11,73.4
1908,12,54.05
1909,1,48.05
1909,2,45.95
1909,3,56.75
1909,4,60.65
1909,5,74.75
1909,6,80.8
1909,7,84.3
1909,8,87.45
1909,9,77.4
1909,10,73.95
1909,11,67.15
1909,12,68.69999999999999
1910,1,64.35
1910,2,47.75
1910,3,49.8
1910,4,62.0
1910,5,81.3
1910,6,86.25
1910,7,91.25
1910,8,82.4
1910,9,77.5
1910,10,71.15
1910,11,76.05
1910,12,60.55
1911,1,47.349999999999994
